total questions,correct questions,Performance,Job Profile Name,correctness
5,1,Very Poor,Full Stack Developer,20
1,5,can't predict,Full Stack Developer,500
9,3,Poor,Full Stack Developer,33.33
5,6,can't predict,Full Stack Developer,120
8,5,Above Average,Database Administrator,62.5
8,10,can't predict,Full Stack Developer,125
3,9,can't predict,Artificial Intelligence (AI) Engineer,300
8,10,can't predict,Cybersecurity Analyst,125
1,0,Needs Improvement,Data Analyst,0
3,7,can't predict,Database Administrator,233.33
4,4,Excellent,Data Analyst,100
7,8,can't predict,Database Administrator,114.29
3,1,Poor,Full Stack Developer,33.33
9,7,Good,Artificial Intelligence (AI) Engineer,77.78
4,3,Good,Full Stack Developer,75
5,2,Below Average,Database Administrator,40
5,3,Above Average,Full Stack Developer,60
1,6,can't predict,Data Analyst,600
4,5,can't predict,Data Analyst,125
6,9,can't predict,Artificial Intelligence (AI) Engineer,150
7,3,Below Average,Data Analyst,42.86
9,1,Extremely Poor,Data Analyst,11.11
5,4,Very Good,Full Stack Developer,80
1,4,can't predict,Data Analyst,400
4,2,Average,Data Analyst,50
4,5,can't predict,Data Analyst,125
9,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,6,Very Good,Database Administrator,85.71
1,0,Needs Improvement,Data Analyst,0
8,3,Poor,Artificial Intelligence (AI) Engineer,37.5
7,8,can't predict,Artificial Intelligence (AI) Engineer,114.29
1,10,can't predict,Database Administrator,1000
2,1,Average,Full Stack Developer,50
1,3,can't predict,Data Analyst,300
10,0,Needs Improvement,Cybersecurity Analyst,0
2,10,can't predict,Full Stack Developer,500
7,8,can't predict,Cybersecurity Analyst,114.29
7,0,Needs Improvement,Data Analyst,0
10,1,Extremely Poor,Database Administrator,10
10,10,Excellent,Full Stack Developer,100
9,3,Poor,Data Analyst,33.33
7,9,can't predict,Cybersecurity Analyst,128.57
8,7,Very Good,Database Administrator,87.5
5,7,can't predict,Artificial Intelligence (AI) Engineer,140
1,7,can't predict,Data Analyst,700
9,2,Very Poor,Database Administrator,22.22
6,2,Poor,Data Analyst,33.33
7,5,Good,Full Stack Developer,71.43
7,1,Extremely Poor,Full Stack Developer,14.29
5,5,Excellent,Full Stack Developer,100
10,3,Poor,Cybersecurity Analyst,30
4,2,Average,Full Stack Developer,50
7,4,Average,Full Stack Developer,57.14
3,2,Above Average,Database Administrator,66.67
8,7,Very Good,Artificial Intelligence (AI) Engineer,87.5
3,3,Excellent,Data Analyst,100
8,6,Good,Data Analyst,75
3,7,can't predict,Data Analyst,233.33
4,10,can't predict,Cybersecurity Analyst,250
4,0,Needs Improvement,Full Stack Developer,0
3,6,can't predict,Cybersecurity Analyst,200
4,8,can't predict,Data Analyst,200
6,3,Average,Artificial Intelligence (AI) Engineer,50
10,8,Very Good,Full Stack Developer,80
8,2,Very Poor,Cybersecurity Analyst,25
5,7,can't predict,Data Analyst,140
6,9,can't predict,Full Stack Developer,150
5,0,Needs Improvement,Data Analyst,0
4,9,can't predict,Data Analyst,225
4,9,can't predict,Artificial Intelligence (AI) Engineer,225
3,6,can't predict,Full Stack Developer,200
8,4,Average,Data Analyst,50
10,0,Needs Improvement,Data Analyst,0
7,10,can't predict,Database Administrator,142.86
9,8,Very Good,Data Analyst,88.89
6,1,Extremely Poor,Data Analyst,16.67
9,1,Extremely Poor,Data Analyst,11.11
6,4,Above Average,Full Stack Developer,66.67
10,7,Good,Database Administrator,70
7,4,Average,Data Analyst,57.14
1,7,can't predict,Data Analyst,700
5,6,can't predict,Full Stack Developer,120
6,4,Above Average,Cybersecurity Analyst,66.67
2,10,can't predict,Artificial Intelligence (AI) Engineer,500
6,5,Very Good,Artificial Intelligence (AI) Engineer,83.33
7,2,Very Poor,Artificial Intelligence (AI) Engineer,28.57
1,3,can't predict,Database Administrator,300
8,2,Very Poor,Full Stack Developer,25
7,0,Needs Improvement,Cybersecurity Analyst,0
10,3,Poor,Database Administrator,30
6,3,Average,Artificial Intelligence (AI) Engineer,50
9,3,Poor,Data Analyst,33.33
10,5,Average,Data Analyst,50
8,10,can't predict,Artificial Intelligence (AI) Engineer,125
9,7,Good,Full Stack Developer,77.78
8,10,can't predict,Artificial Intelligence (AI) Engineer,125
9,2,Very Poor,Full Stack Developer,22.22
1,2,can't predict,Artificial Intelligence (AI) Engineer,200
7,10,can't predict,Full Stack Developer,142.86
5,0,Needs Improvement,Database Administrator,0
2,1,Average,Full Stack Developer,50
1,0,Needs Improvement,Full Stack Developer,0
6,3,Average,Data Analyst,50
5,0,Needs Improvement,Full Stack Developer,0
5,8,can't predict,Database Administrator,160
10,6,Above Average,Data Analyst,60
8,2,Very Poor,Full Stack Developer,25
8,8,Excellent,Full Stack Developer,100
9,8,Very Good,Database Administrator,88.89
1,5,can't predict,Data Analyst,500
1,8,can't predict,Full Stack Developer,800
8,7,Very Good,Database Administrator,87.5
7,4,Average,Database Administrator,57.14
10,6,Above Average,Artificial Intelligence (AI) Engineer,60
9,3,Poor,Full Stack Developer,33.33
4,10,can't predict,Full Stack Developer,250
6,9,can't predict,Artificial Intelligence (AI) Engineer,150
5,9,can't predict,Data Analyst,180
10,5,Average,Data Analyst,50
5,8,can't predict,Cybersecurity Analyst,160
1,0,Needs Improvement,Data Analyst,0
3,4,can't predict,Database Administrator,133.33
7,7,Excellent,Artificial Intelligence (AI) Engineer,100
7,3,Below Average,Cybersecurity Analyst,42.86
6,8,can't predict,Artificial Intelligence (AI) Engineer,133.33
3,0,Needs Improvement,Database Administrator,0
2,4,can't predict,Database Administrator,200
9,3,Poor,Artificial Intelligence (AI) Engineer,33.33
6,3,Average,Database Administrator,50
7,6,Very Good,Full Stack Developer,85.71
